transaction_id,timestamp,date,day_of_week,hour,is_weekend,lane_type,lane_number,cashier_id,payment_method,n_items,n_fresh_items,has_fresh_products,basket_value_tnd,queue_wait_time_sec,scan_time_sec,weighing_time_sec,payment_time_sec,bagging_time_sec,other_delay_sec,delay_reason,total_transaction_time_sec,customer_satisfaction
TXN-CRT-001-000011,2026-07-01 10:54:28,2026-07-01,Wednesday,10,False,Traditional,2,CASH-123,Cash,37,5,True,300.38,111.9,131.9,32.7,29.5,26.3,0.0,,220.5,3
TXN-CRT-001-000012,2026-07-01 10:57:09,2026-07-01,Wednesday,10,False,Express (<10 items),12,CASH-142,Card (Local),24,4,True,206.18,16.5,88.5,24.0,23.1,18.2,0.0,,153.8,4
TXN-CRT-001-000013,2026-07-01 11:02:18,2026-07-01,Wednesday,11,False,Traditional,4,CASH-132,Card (Local),42,17,True,358.51,39.1,232.2,23.5,18.3,37.4,0.0,,311.4,3
TXN-CRT-001-000014,2026-07-01 11:03:08,2026-07-01,Wednesday,11,False,Traditional,4,CASH-112,Card (Local),11,3,True,59.92,42.0,36.7,36.7,31.3,27.0,0.0,,131.7,4
TXN-CRT-001-000015,2026-07-01 11:06:18,2026-07-01,Wednesday,11,False,Traditional,3,CASH-112,Cash,15,6,True,119.29,26.1,64.3,17.5,70.8,32.0,0.0,,184.6,4
TXN-CRT-001-000016,2026-07-01 11:09:05,2026-07-01,Wednesday,11,False,Traditional,5,CASH-118,Cash,1,1,True,4.14,131.7,4.5,24.3,68.4,27.4,0.0,,124.6,3
TXN-CRT-001-000017,2026-07-01 11:13:49,2026-07-01,Wednesday,11,False,Traditional,3,CASH-107,Cash,1,0,False,2.55,11.8,3.5,0.0,73.5,38.0,131.1,Price check required,246.1,3
TXN-CRT-001-000018,2026-07-01 11:17:44,2026-07-01,Wednesday,11,False,Traditional,7,CASH-111,Cash,8,3,True,53.6,69.3,25.7,30.4,34.8,37.5,0.0,,128.4,4
TXN-CRT-001-000019,2026-07-01 11:22:04,2026-07-01,Wednesday,11,False,Traditional,1,CASH-133,Card (Local),5,0,False,15.52,79.2,31.8,0.0,27.1,17.0,0.0,,75.9,4
TXN-CRT-001-000020,2026-07-01 11:22:32,2026-07-01,Wednesday,11,False,Traditional,6,CASH-125,Flous (Mobile),9,3,True,38.67,26.0,50.5,30.8,30.8,30.9,0.0,,143.0,4
TXN-CRT-001-000021,2026-07-01 11:22:33,2026-07-01,Wednesday,11,False,Traditional,1,CASH-122,Card (Local),7,1,True,38.92,20.6,34.6,33.1,23.8,30.6,0.0,,122.1,4
TXN-CRT-001-000022,2026-07-01 11:23:33,2026-07-01,Wednesday,11,False,Traditional,1,CASH-102,Cash,2,1,True,5.64,30.0,13.1,30.7,60.3,31.9,0.0,,136.0,4
TXN-CRT-001-000023,2026-07-01 11:23:53,2026-07-01,Wednesday,11,False,Traditional,2,CASH-116,Check,40,6,True,206.38,7.7,283.3,44.1,67.7,24.4,0.0,,419.5,4
TXN-CRT-001-000024,2026-07-01 11:23:59,2026-07-01,Wednesday,11,False,Traditional,5,CASH-134,Card (Local),1,1,True,3.23,32.2,5.1,41.6,32.7,24.4,0.0,,103.8,4
TXN-CRT-001-000025,2026-07-01 11:29:59,2026-07-01,Wednesday,11,False,Traditional,1,CASH-120,Flous (Mobile),25,4,True,197.62,36.0,140.1,21.5,24.1,36.3,0.0,,222.0,4
TXN-CRT-001-000026,2026-07-01 11:30:29,2026-07-01,Wednesday,11,False,Traditional,5,CASH-108,Card (Local),6,3,True,41.22,170.9,24.3,37.9,27.7,28.7,0.0,,118.6,3
TXN-CRT-001-000027,2026-07-01 11:41:26,2026-07-01,Wednesday,11,False,Traditional,3,CASH-104,Cash,40,9,True,214.77,9.3,108.2,16.7,34.8,28.3,0.0,,188.0,4
TXN-CRT-001-000028,2026-07-01 11:45:58,2026-07-01,Wednesday,11,False,Traditional,6,CASH-107,Cash,38,10,True,336.22,44.9,259.6,20.7,31.4,30.2,0.0,,341.8,4
TXN-CRT-001-000029,2026-07-01 11:47:16,2026-07-01,Wednesday,11,False,Traditional,4,CASH-123,Card (Local),21,5,True,175.05,87.1,85.2,19.7,29.7,36.9,0.0,,171.6,4
TXN-CRT-001-000030,2026-07-01 11:49:04,2026-07-01,Wednesday,11,False,Traditional,8,CASH-112,Cash,22,5,True,206.91,153.0,136.9,22.3,63.2,16.3,0.0,,238.6,3
TXN-CRT-001-000031,2026-07-01 11:49:45,2026-07-01,Wednesday,11,False,Traditional,4,CASH-111,Cash,1,0,False,6.77,10.7,7.1,0.0,33.7,27.9,0.0,,68.7,4
TXN-CRT-001-000032,2026-07-01 11:52:01,2026-07-01,Wednesday,11,False,Traditional,4,CASH-112,Card (Local),49,17,True,439.42,167.7,344.1,23.9,34.8,22.4,0.0,,425.2,3
TXN-CRT-001-000033,2026-07-01 11:55:58,2026-07-01,Wednesday,11,False,Traditional,8,CASH-117,Card (Local),36,5,True,218.0,39.0,125.4,17.5,33.0,23.9,0.0,,199.8,4
TXN-CRT-001-000034,2026-07-01 11:56:31,2026-07-01,Wednesday,11,False,Express (<10 items),13,CASH-145,Card (Local),38,13,True,318.03,39.2,86.2,21.7,21.2,35.2,0.0,,164.3,4
TXN-CRT-001-000035,2026-07-01 11:59:34,2026-07-01,Wednesday,11,False,Express (<10 items),13,CASH-138,Cash,21,6,True,112.34,16.8,95.7,35.2,30.0,16.2,0.0,,177.1,4
TXN-CRT-001-000036,2026-07-01 12:13:09,2026-07-01,Wednesday,12,False,Traditional,4,CASH-118,Cash,11,4,True,35.32,52.8,68.2,25.8,52.5,31.6,0.0,,178.1,4
TXN-CRT-001-000037,2026-07-01 12:14:13,2026-07-01,Wednesday,12,False,Traditional,2,CASH-117,Card (Local),38,9,True,187.72,168.2,181.8,37.2,30.0,20.9,0.0,,270.0,3
TXN-CRT-001-000038,2026-07-01 12:19:32,2026-07-01,Wednesday,12,False,Traditional,3,CASH-117,Check,10,2,True,58.58,52.0,41.3,41.6,46.0,29.0,0.0,,157.8,4
TXN-CRT-001-000039,2026-07-01 12:22:19,2026-07-01,Wednesday,12,False,Traditional,7,CASH-102,Card (Local),18,7,True,115.77,23.7,98.8,17.9,24.9,30.3,0.0,,172.0,4
TXN-CRT-001-000040,2026-07-01 12:22:40,2026-07-01,Wednesday,12,False,Traditional,2,CASH-126,Flous (Mobile),4,1,True,19.59,28.3,15.3,19.6,28.3,32.1,0.0,,95.4,4
TXN-CRT-001-000041,2026-07-01 12:29:29,2026-07-01,Wednesday,12,False,Traditional,3,CASH-128,Card (International),41,10,True,159.67,29.5,290.6,39.1,25.6,39.3,0.0,,394.5,3
TXN-CRT-001-000042,2026-07-01 12:30:57,2026-07-01,Wednesday,12,False,Traditional,3,CASH-106,Card (Local),6,0,False,21.04,138.8,37.4,0.0,34.7,24.5,0.0,,96.7,3
TXN-CRT-001-000043,2026-07-01 12:35:17,2026-07-01,Wednesday,12,False,Traditional,3,CASH-123,Cash,8,1,True,33.45,159.9,20.7,41.9,69.4,36.2,0.0,,168.2,3
TXN-CRT-001-000044,2026-07-01 12:37:24,2026-07-01,Wednesday,12,False,Self-Service,9,,Card (Local),17,5,True,48.48,11.8,144.5,41.9,20.1,36.1,0.0,,242.5,4
TXN-CRT-001-000045,2026-07-01 12:42:06,2026-07-01,Wednesday,12,False,Traditional,8,CASH-112,Card (Local),26,8,True,162.36,18.2,130.4,18.8,29.7,30.8,0.0,,209.7,4
TXN-CRT-001-000046,2026-07-01 12:43:34,2026-07-01,Wednesday,12,False,Traditional,2,CASH-109,Card (Local),20,5,True,108.51,20.3,142.8,27.1,29.1,24.5,0.0,,223.4,4
TXN-CRT-001-000047,2026-07-01 12:52:00,2026-07-01,Wednesday,12,False,Traditional,3,CASH-109,Cash,8,1,True,55.02,31.1,51.2,43.6,26.5,19.8,0.0,,141.2,4
TXN-CRT-001-000048,2026-07-01 13:00:45,2026-07-01,Wednesday,13,False,Traditional,4,CASH-104,Card (Local),1,0,False,3.12,180.9,5.4,0.0,33.9,17.2,81.8,Supervisor approval needed,138.2,3
TXN-CRT-001-000049,2026-07-01 13:25:32,2026-07-01,Wednesday,13,False,Traditional,7,CASH-132,Cash,26,6,True,246.04,166.0,83.1,39.0,56.7,38.4,0.0,,217.2,3
TXN-CRT-001-000050,2026-07-01 13:26:24,2026-07-01,Wednesday,13,False,Traditional,6,CASH-125,Cash,49,12,True,423.74,49.8,243.1,37.8,52.6,26.4,0.0,,359.9,4
TXN-CRT-001-000051,2026-07-01 13:26:36,2026-07-01,Wednesday,13,False,Express (<10 items),12,CASH-140,Cash,29,10,True,281.92,34.5,77.2,43.8,58.1,37.8,0.0,,216.9,4
TXN-CRT-001-000052,2026-07-01 13:29:14,2026-07-01,Wednesday,13,False,Traditional,5,CASH-135,Card (International),14,5,True,41.93,5.6,58.8,29.8,28.2,35.1,0.0,,151.9,4
TXN-CRT-001-000053,2026-07-01 13:31:48,2026-07-01,Wednesday,13,False,Express (<10 items),13,CASH-142,Cash,39,6,True,329.34,58.4,236.7,25.5,39.8,19.7,0.0,,321.6,4
TXN-CRT-001-000054,2026-07-01 13:36:03,2026-07-01,Wednesday,13,False,Self-Service,9,,Cash,13,5,True,91.51,53.5,63.9,59.1,57.1,41.2,0.0,,221.4,4
TXN-CRT-001-000055,2026-07-01 13:50:23,2026-07-01,Wednesday,13,False,Traditional,7,CASH-105,Cash,16,4,True,75.75,16.2,90.5,30.5,25.8,24.5,0.0,,171.3,4
TXN-CRT-001-000056,2026-07-01 13:53:40,2026-07-01,Wednesday,13,False,Self-Service,9,,Card (Local),15,5,True,87.78,67.7,74.3,59.3,25.1,30.8,0.0,,189.5,3
TXN-CRT-001-000057,2026-07-01 14:23:50,2026-07-01,Wednesday,14,False,Traditional,6,CASH-113,Cash,14,2,True,110.21,97.0,68.4,28.5,65.2,32.3,0.0,,194.5,4
TXN-CRT-001-000058,2026-07-01 14:29:02,2026-07-01,Wednesday,14,False,Traditional,7,CASH-111,Cash,27,8,True,170.18,16.0,113.5,36.5,26.2,36.8,0.0,,213.0,4
TXN-CRT-001-000059,2026-07-01 14:40:49,2026-07-01,Wednesday,14,False,Traditional,1,CASH-123,Card (Local),16,3,True,48.5,32.6,117.8,32.5,23.6,24.8,0.0,,198.7,4
TXN-CRT-001-000060,2026-07-01 14:41:42,2026-07-01,Wednesday,14,False,Traditional,4,CASH-122,Cash,10,2,True,33.85,93.6,35.2,17.8,44.4,30.7,0.0,,128.1,4
TXN-CRT-001-000061,2026-07-01 14:42:53,2026-07-01,Wednesday,14,False,Traditional,6,CASH-108,Flous (Mobile),9,0,False,57.07,27.0,58.7,0.0,24.4,29.0,0.0,,112.1,4
TXN-CRT-001-000062,2026-07-01 14:43:14,2026-07-01,Wednesday,14,False,Traditional,7,CASH-119,Flous (Mobile),2,0,False,6.22,31.4,14.3,0.0,28.9,37.0,0.0,,80.1,4
TXN-CRT-001-000063,2026-07-01 14:48:55,2026-07-01,Wednesday,14,False,Traditional,8,CASH-115,Cash,18,2,True,99.41,33.2,107.8,42.3,55.7,35.7,88.4,Price check required,329.9,3
TXN-CRT-001-000064,2026-07-01 14:50:07,2026-07-01,Wednesday,14,False,Traditional,4,CASH-112,Cash,8,1,True,22.51,70.0,36.7,18.8,71.4,36.1,43.2,Price check required,206.2,3
TXN-CRT-001-000065,2026-07-01 14:52:46,2026-07-01,Wednesday,14,False,Traditional,3,CASH-105,Card (Local),6,0,False,43.88,106.6,39.0,0.0,32.8,28.9,71.9,Promo code issue,172.6,2
TXN-CRT-001-000066,2026-07-01 15:08:28,2026-07-01,Wednesday,15,False,Traditional,8,CASH-108,Cash,21,6,True,122.53,146.7,81.6,37.6,70.1,17.0,0.0,,206.3,3
TXN-CRT-001-000067,2026-07-01 15:19:44,2026-07-01,Wednesday,15,False,Traditional,7,CASH-131,Cash,22,2,True,168.36,101.3,56.7,30.3,35.4,18.0,0.0,,140.4,3
TXN-CRT-001-000068,2026-07-01 15:20:11,2026-07-01,Wednesday,15,False,Traditional,3,CASH-111,Cash,25,7,True,83.12,49.4,94.5,44.8,54.3,39.8,0.0,,233.5,4
TXN-CRT-001-000069,2026-07-01 15:49:31,2026-07-01,Wednesday,15,False,Traditional,4,CASH-118,Flous (Mobile),15,2,True,114.74,79.2,55.9,20.1,34.4,22.2,136.7,Price check required,269.3,3
TXN-CRT-001-000070,2026-07-01 15:56:19,2026-07-01,Wednesday,15,False,Express (<10 items),13,CASH-141,Cash,38,14,True,303.69,14.9,150.5,36.9,72.9,20.8,0.0,,281.1,4
TXN-CRT-001-000071,2026-07-01 16:03:24,2026-07-01,Wednesday,16,False,Traditional,8,CASH-125,Card (Local),43,15,True,197.0,196.7,228.1,32.7,33.0,38.9,0.0,,332.7,2
TXN-CRT-001-000072,2026-07-01 16:03:35,2026-07-01,Wednesday,16,False,Traditional,2,CASH-104,Card (International),29,5,True,231.97,24.7,103.7,16.7,39.1,33.2,0.0,,192.7,4
TXN-CRT-001-000073,2026-07-01 16:12:07,2026-07-01,Wednesday,16,False,Traditional,7,CASH-123,Cash,20,5,True,119.5,75.0,123.0,29.8,65.4,21.4,0.0,,239.6,3
TXN-CRT-001-000074,2026-07-01 16:17:34,2026-07-01,Wednesday,16,False,Traditional,1,CASH-105,Cash,10,0,False,42.97,55.7,50.9,0.0,65.7,28.2,0.0,,144.8,4
TXN-CRT-001-000075,2026-07-01 16:18:53,2026-07-01,Wednesday,16,False,Traditional,7,CASH-133,Check,49,17,True,205.52,13.3,327.0,25.0,74.4,18.7,0.0,,445.1,4
TXN-CRT-001-000076,2026-07-01 16:25:34,2026-07-01,Wednesday,16,False,Traditional,2,CASH-112,Cash,9,2,True,48.71,24.8,39.0,34.9,58.1,31.6,0.0,,163.7,4
TXN-CRT-001-000077,2026-07-01 16:26:00,2026-07-01,Wednesday,16,False,Traditional,2,CASH-104,Card (Local),7,0,False,26.55,111.5,23.1,0.0,33.4,32.9,0.0,,89.4,3
TXN-CRT-001-000078,2026-07-01 16:29:20,2026-07-01,Wednesday,16,False,Traditional,3,CASH-134,Cash,14,3,True,89.65,44.4,88.2,18.3,35.9,21.1,0.0,,163.6,4
TXN-CRT-001-000079,2026-07-01 16:45:12,2026-07-01,Wednesday,16,False,Traditional,1,CASH-103,Cash,3,0,False,22.93,21.1,14.1,0.0,50.5,23.6,0.0,,88.1,4
TXN-CRT-001-000080,2026-07-01 16:55:49,2026-07-01,Wednesday,16,False,Traditional,6,CASH-127,Cash,48,11,True,295.74,39.2,191.5,43.3,46.1,37.7,0.0,,318.6,4
TXN-CRT-001-000081,2026-07-01 17:00:16,2026-07-01,Wednesday,17,False,Self-Service,10,,Cash,18,5,True,86.38,21.1,159.4,41.2,52.6,34.4,0.0,,287.5,4
TXN-CRT-001-000082,2026-07-01 17:03:38,2026-07-01,Wednesday,17,False,Traditional,7,CASH-108,Cash,17,4,True,118.26,31.1,66.4,24.8,53.7,23.4,83.6,Supervisor approval needed,251.8,3
TXN-CRT-001-000083,2026-07-01 17:10:28,2026-07-01,Wednesday,17,False,Traditional,5,CASH-129,Flous (Mobile),21,5,True,138.94,10.2,61.0,29.3,37.9,32.1,0.0,,160.4,4
TXN-CRT-001-000084,2026-07-01 17:10:32,2026-07-01,Wednesday,17,False,Traditional,8,CASH-133,Cash,15,2,True,100.8,49.3,82.5,19.8,50.1,30.6,0.0,,183.0,4
TXN-CRT-001-000085,2026-07-01 17:14:37,2026-07-01,Wednesday,17,False,Traditional,6,CASH-101,Cash,2,0,False,5.69,55.3,12.1,0.0,73.3,17.2,0.0,,102.5,4
TXN-CRT-001-000086,2026-07-01 17:24:24,2026-07-01,Wednesday,17,False,Traditional,5,CASH-134,Cash,19,2,True,94.64,31.6,114.5,23.7,51.3,32.1,0.0,,221.7,4
TXN-CRT-001-000087,2026-07-01 17:31:15,2026-07-01,Wednesday,17,False,Traditional,6,CASH-132,Card (International),24,8,True,176.42,111.2,78.8,28.3,44.0,36.0,0.0,,187.1,4
TXN-CRT-001-000088,2026-07-01 17:32:25,2026-07-01,Wednesday,17,False,Traditional,5,CASH-108,Cash,13,2,True,91.32,33.2,83.8,33.6,46.2,23.4,0.0,,187.0,4
TXN-CRT-001-000089,2026-07-01 17:37:26,2026-07-01,Wednesday,17,False,Self-Service,10,,Card (Local),26,7,True,249.16,44.4,220.6,26.6,28.9,29.3,0.0,,305.4,3
TXN-CRT-001-000090,2026-07-01 17:42:06,2026-07-01,Wednesday,17,False,Traditional,8,CASH-113,Cash,8,1,True,57.74,29.9,36.1,30.9,46.3,38.4,151.3,Promo code issue,303.1,2
TXN-CRT-001-000091,2026-07-01 17:52:23,2026-07-01,Wednesday,17,False,Traditional,7,CASH-122,Cash,8,1,True,27.8,35.9,58.2,25.5,50.2,19.6,0.0,,153.6,4
TXN-CRT-001-000092,2026-07-01 17:55:02,2026-07-01,Wednesday,17,False,Traditional,3,CASH-115,Cash,6,2,True,33.34,81.7,26.9,20.8,26.9,34.0,0.0,,108.5,3
TXN-CRT-001-000093,2026-07-01 18:01:19,2026-07-01,Wednesday,18,False,Traditional,8,CASH-134,Flous (Mobile),12,3,True,88.71,15.4,58.5,34.2,23.5,22.0,0.0,,138.2,4
TXN-CRT-001-000094,2026-07-01 18:04:58,2026-07-01,Wednesday,18,False,Traditional,6,CASH-120,Cash,33,8,True,292.68,67.2,128.8,31.2,62.3,22.6,0.0,,245.0,3
TXN-CRT-001-000095,2026-07-01 18:08:17,2026-07-01,Wednesday,18,False,Traditional,2,CASH-129,Cash,31,8,True,290.14,26.8,103.4,26.4,52.7,29.2,0.0,,211.8,4
TXN-CRT-001-000096,2026-07-01 18:09:28,2026-07-01,Wednesday,18,False,Traditional,8,CASH-113,Cash,12,3,True,88.26,16.1,45.2,34.6,27.5,17.1,0.0,,124.4,4
TXN-CRT-001-000097,2026-07-01 18:16:15,2026-07-01,Wednesday,18,False,Traditional,6,CASH-110,Flous (Mobile),18,3,True,65.18,36.9,90.6,16.0,20.2,20.1,0.0,,146.8,4
TXN-CRT-001-000098,2026-07-01 18:18:38,2026-07-01,Wednesday,18,False,Traditional,2,CASH-117,Cash,24,6,True,211.97,74.4,126.4,17.2,67.7,36.8,0.0,,248.1,4
TXN-CRT-001-000099,2026-07-01 18:19:21,2026-07-01,Wednesday,18,False,Traditional,5,CASH-110,Cash,8,2,True,52.87,36.2,29.7,38.8,51.3,25.0,0.0,,144.9,4
TXN-CRT-001-000100,2026-07-01 18:24:37,2026-07-01,Wednesday,18,False,Traditional,5,CASH-104,Cash,7,0,False,36.97,21.9,21.2,0.0,42.3,21.5,0.0,,85.0,4
TXN-CRT-001-000101,2026-07-01 18:30:04,2026-07-01,Wednesday,18,False,Traditional,5,CASH-123,Cash,47,11,True,354.64,162.1,121.2,22.4,32.7,24.8,0.0,,201.1,3
TXN-CRT-001-000102,2026-07-01 18:31:27,2026-07-01,Wednesday,18,False,Traditional,5,CASH-130,Card (Local),19,2,True,148.18,60.7,89.1,40.7,33.8,35.6,0.0,,199.2,3
TXN-CRT-001-000103,2026-07-01 18:31:46,2026-07-01,Wednesday,18,False,Traditional,4,CASH-104,Card (Local),48,9,True,426.05,50.7,288.1,29.9,18.8,23.3,0.0,,360.1,3
TXN-CRT-001-000104,2026-07-01 18:36:25,2026-07-01,Wednesday,18,False,Traditional,6,CASH-115,Cash,11,3,True,73.96,72.8,78.4,40.6,39.9,29.3,0.0,,188.2,4
TXN-CRT-001-000105,2026-07-01 18:37:01,2026-07-01,Wednesday,18,False,Self-Service,10,,Cash,23,8,True,127.19,78.5,250.1,61.2,47.2,38.8,0.0,,397.3,3
TXN-CRT-001-000106,2026-07-01 18:44:34,2026-07-01,Wednesday,18,False,Traditional,4,CASH-128,Cash,8,3,True,30.9,32.8,52.1,25.9,27.1,39.5,0.0,,144.7,4
TXN-CRT-001-000107,2026-07-01 18:45:09,2026-07-01,Wednesday,18,False,Traditional,4,CASH-124,Cash,9,0,False,49.83,89.8,65.2,0.0,73.5,33.1,0.0,,171.8,3
TXN-CRT-001-000108,2026-07-01 18:47:51,2026-07-01,Wednesday,18,False,Traditional,6,CASH-124,Cash,16,4,True,124.93,12.8,91.9,34.7,52.9,36.5,0.0,,216.0,4
TXN-CRT-001-000109,2026-07-01 18:49:55,2026-07-01,Wednesday,18,False,Traditional,5,CASH-112,Card (International),10,3,True,30.98,76.1,47.7,41.2,38.7,17.2,0.0,,144.9,3
TXN-CRT-001-000110,2026-07-01 18:52:07,2026-07-01,Wednesday,18,False,Traditional,4,CASH-121,Check,7,1,True,54.97,34.6,23.9,22.8,87.1,24.3,0.0,,158.1,4
TXN-CRT-001-000111,2026-07-01 18:54:51,2026-07-01,Wednesday,18,False,Traditional,6,CASH-131,Check,9,3,True,31.9,113.6,45.5,23.7,59.8,26.1,0.0,,155.1,3
TXN-CRT-001-000112,2026-07-01 18:56:50,2026-07-01,Wednesday,18,False,Traditional,7,CASH-102,Flous (Mobile),2,1,True,12.3,32.6,13.3,39.9,36.6,17.1,0.0,,106.9,4
TXN-CRT-001-000113,2026-07-01 18:58:07,2026-07-01,Wednesday,18,False,Self-Service,10,,Card (Local),23,8,True,189.64,99.6,212.8,29.8,25.8,31.2,115.9,Item return/exchange,415.5,2
TXN-CRT-001-000114,2026-07-01 19:09:16,2026-07-01,Wednesday,19,False,Traditional,5,CASH-132,Card (Local),15,0,False,56.11,62.2,58.3,0.0,19.6,22.7,0.0,,100.6,3
TXN-CRT-001-000115,2026-07-01 19:09:49,2026-07-01,Wednesday,19,False,Traditional,7,CASH-112,Cash,4,0,False,23.39,87.2,16.8,0.0,58.6,25.7,0.0,,101.1,3
TXN-CRT-001-000116,2026-07-01 19:10:24,2026-07-01,Wednesday,19,False,Self-Service,11,,Card (Local),7,3,True,21.32,51.6,62.4,51.8,31.3,30.1,0.0,,175.5,4
TXN-CRT-001-000117,2026-07-01 19:13:05,2026-07-01,Wednesday,19,False,Traditional,4,CASH-131,Cash,5,2,True,27.37,8.7,19.3,28.3,42.5,34.5,0.0,,124.7,4
TXN-CRT-001-000118,2026-07-01 19:15:03,2026-07-01,Wednesday,19,False,Traditional,3,CASH-111,Cash,19,7,True,100.6,107.9,51.0,15.6,41.3,33.1,0.0,,141.0,4
TXN-CRT-001-000119,2026-07-01 19:19:29,2026-07-01,Wednesday,19,False,Self-Service,11,,Card (International),4,0,False,31.36,112.9,39.5,0.0,45.9,26.7,0.0,,112.1,4
TXN-CRT-001-000120,2026-07-01 19:19:45,2026-07-01,Wednesday,19,False,Traditional,5,CASH-101,Cash,25,7,True,141.74,37.4,129.6,34.7,30.1,36.5,0.0,,230.9,4
TXN-CRT-001-000121,2026-07-01 19:24:28,2026-07-01,Wednesday,19,False,Traditional,4,CASH-117,Cash,1,0,False,6.55,27.7,3.4,0.0,32.0,15.1,0.0,,50.5,4
TXN-CRT-001-000122,2026-07-01 19:24:54,2026-07-01,Wednesday,19,False,Self-Service,11,,Flous (Mobile),9,0,False,58.55,92.4,109.3,0.0,21.1,32.1,0.0,,162.5,3
TXN-CRT-001-000123,2026-07-01 19:27:08,2026-07-01,Wednesday,19,False,Traditional,6,CASH-128,Cash,38,10,True,156.84,61.4,140.8,41.0,42.3,24.0,0.0,,248.0,3
TXN-CRT-001-000124,2026-07-01 19:33:06,2026-07-01,Wednesday,19,False,Traditional,6,CASH-135,Cash,24,7,True,219.34,43.2,75.0,16.5,27.4,18.1,0.0,,137.0,4
TXN-CRT-001-000125,2026-07-01 19:37:15,2026-07-01,Wednesday,19,False,Traditional,4,CASH-105,Flous (Mobile),3,0,False,23.03,70.2,11.3,0.0,29.1,20.7,0.0,,61.1,3
TXN-CRT-001-000126,2026-07-01 19:42:56,2026-07-01,Wednesday,19,False,Traditional,8,CASH-105,Card (Local),30,6,True,155.42,37.3,219.1,22.2,19.2,37.4,0.0,,297.9,4
TXN-CRT-001-000127,2026-07-01 19:43:58,2026-07-01,Wednesday,19,False,Traditional,3,CASH-129,Card (Local),15,4,True,77.29,111.7,77.7,19.0,24.0,24.1,0.0,,144.9,3
TXN-CRT-001-000128,2026-07-01 19:46:46,2026-07-01,Wednesday,19,False,Self-Service,9,,Cash,33,8,True,211.53,39.8,214.4,32.3,73.3,39.0,0.0,,359.0,3
TXN-CRT-001-000129,2026-07-01 19:48:27,2026-07-01,Wednesday,19,False,Traditional,5,CASH-110,Cash,19,7,True,91.65,92.4,84.9,24.9,57.4,26.7,0.0,,193.9,3
TXN-CRT-001-000130,2026-07-01 19:50:38,2026-07-01,Wednesday,19,False,Traditional,4,CASH-106,Flous (Mobile),22,5,True,173.34,51.5,89.5,22.1,22.9,24.2,0.0,,158.7,4
TXN-CRT-001-000131,2026-07-01 19:56:53,2026-07-01,Wednesday,19,False,Traditional,4,CASH-115,Card (Local),50,11,True,305.43,64.5,263.2,40.0,29.5,29.6,0.0,,362.2,3
TXN-CRT-001-000132,2026-07-01 20:01:14,2026-07-01,Wednesday,20,False,Traditional,6,CASH-131,Cash,8,5,True,59.55,158.7,33.8,37.4,40.1,27.2,0.0,,138.4,3
TXN-CRT-001-000133,2026-07-01 20:01:16,2026-07-01,Wednesday,20,False,Traditional,3,CASH-104,Cash,20,8,True,109.2,33.5,59.8,27.3,27.2,34.7,0.0,,148.9,4
